milliseconds;ax1;ay1;az1;gx1;gy1;gz1;ax2;ay2;az2;gx2;gy2;gz2;ax3;ay3;az3;gx3;gy3;gz3;ax4;ay4;az4;gx4;gy4;gz4
80744;-4010;71;1867;-140;315;-26;-3898;29;-662;98;-602;-35;3738;-487;2302;-229;111;84;4356;-112;1204;-235;24;101
80756;-3986;100;1863;-172;428;-52;-3950;-104;-424;34;-641;-63;3763;-484;2318;-196;139;105;4366;-45;1173;-282;96;106
80768;-3970;16;1917;-268;546;-83;-4019;-148;-366;69;-705;-58;3799;-523;2278;-182;176;118;4360;-86;1214;-325;121;107
80780;-4038;139;2150;-484;358;-50;-4152;-138;-218;114;-924;-89;3800;-495;2281;-175;239;104;4353;-146;1334;-341;155;89
80792;-4099;131;2148;-703;116;24;-4295;-105;-64;188;-1269;-86;3816;-532;2288;-166;301;70;4370;-194;1348;-372;195;68
80804;-3953;19;2194;-987;-15;55;-4390;-246;56;112;-1551;0;3785;-579;2298;-157;356;54;4336;-280;1397;-392;213;48
80816;-4113;240;2302;-1123;120;89;-4353;-303;382;207;-1771;46;3805;-574;2226;-153;397;42;4299;-385;1437;-407;184;43
80828;-3836;44;2135;-1260;222;176;-4270;-232;715;631;-2024;70;3774;-594;2217;-127;411;25;4180;-472;1441;-410;218;44
80840;-3828;54;2238;-1127;737;278;-3913;-216;1118;1693;-2077;439;3754;-633;2199;-105;410;-23;4118;-562;1427;-381;224;27
80852;-3801;-84;1907;-1077;930;350;-3712;-685;695;1187;-2101;471;3660;-671;2145;-54;436;-64;3967;-687;1388;-329;185;-10
80864;-3724;-294;1560;-985;1272;387;-3496;-737;87;296;-2169;431;3558;-710;2190;-21;468;-77;3807;-820;1364;-249;138;-79
80876;-4017;130;1559;-936;1446;395;-3488;-331;-543;515;-1947;470;3477;-719;2129;24;509;-83;3683;-907;1264;-163;63;-191
80888;-4132;-65;1466;-798;1524;475;-3858;-99;-1160;507;-1882;461;3397;-835;2143;83;475;-108;3650;-907;1225;-76;-54;-316
80900;-4222;96;1359;-825;1472;488;-3402;117;-1876;40;-1711;472;3427;-934;2233;159;558;-120;3681;-870;1175;2;-237;-425
80912;-4138;76;1141;-844;1387;486;-3419;407;-2457;-128;-1645;543;3383;-932;2274;222;648;-73;3970;-824;1042;92;-392;-531
80924;-4187;-112;1007;-863;1148;507;-3270;596;-3005;-410;-1537;503;3324;-975;2465;330;764;-32;4213;-850;952;201;-440;-561
80936;-4037;-146;769;-944;886;522;-3226;698;-3347;-664;-1289;540;3237;-943;2583;423;792;19;4546;-814;883;344;-376;-517
80948;-4027;-252;483;-943;527;501;-3152;528;-3548;-1159;-1059;593;3262;-942;2703;493;787;70;4797;-683;852;480;-211;-424
80960;-4031;-331;462;-1013;171;507;-3254;325;-3414;-1783;-774;573;3207;-935;2773;551;795;125;4843;-502;924;571;-48;-311
80972;-4023;-201;631;-1033;-164;556;-3413;183;-3076;-2344;-439;592;3234;-852;2845;620;780;167;4686;-365;1174;562;83;-162
80984;-4074;-86;699;-1309;-442;602;-3589;-52;-2504;-2986;-147;538;3175;-799;2858;740;672;160;4679;-381;1250;548;173;-13
80996;-4108;-189;736;-1539;-671;612;-3805;-315;-1815;-3325;90;491;3196;-731;2824;879;557;130;4603;-497;1554;473;248;107
81008;-4210;-322;854;-1585;-807;692;-3873;-943;-1186;-3222;291;451;3045;-633;2662;1026;320;132;4509;-454;1788;503;415;229
81020;-4231;1153;2152;252;65;752;-4879;2818;631;1963;-486;828;4287;1222;2975;298;1001;-76;5199;1849;79;-520;-2496;-610
81120;-4153;1141;2069;402;137;395;-4292;2592;353;1760;-268;611;4161;1148;2897;0;1073;-49;6295;1297;656;-707;-2723;-1146
81132;-4102;1014;1944;410;142;137;-3944;2181;737;1680;-122;362;3984;1119;2821;-240;1035;8;6516;543;528;-667;-2249;-1535
81144;-4108;819;1896;365;174;-48;-3914;917;269;2018;-371;160;3862;975;2805;-369;976;82;5976;185;447;-429;-1767;-1624
81156;-4222;631;1868;252;235;-141;-4246;243;-77;2466;338;708;3791;722;2819;-364;931;220;5360;-219;346;-323;-1252;-1822
81168;-4317;386;1534;243;153;-190;-5021;871;-1238;3159;806;1677;3708;654;2799;-352;812;332;4494;314;259;1;-1920;-1605
81180;-4534;227;1411;349;115;-115;-4446;47;-906;3667;1222;2584;3535;725;2811;-335;649;385;3985;669;269;-123;-1049;-1465
81192;-4408;244;1384;552;32;56;-3181;699;-1454;2546;1220;2086;3339;670;2683;-413;631;410;4091;1165;320;-147;-1726;-1311
81204;-4388;57;1120;719;-203;223;-3086;319;-726;2198;1093;1387;3246;627;2490;-480;490;399;4181;1283;-273;-219;-827;-1180
81216;-4396;464;1321;668;-223;414;-4451;473;-1442;2212;589;1340;2977;590;2326;-541;232;399;3968;1398;7;-387;-694;-1139
81228;-4476;515;1226;609;-248;819;-4203;538;-1082;2332;-13;1074;2976;534;2327;-593;295;426;3895;1227;132;-428;-703;-1104
81240;-4606;421;1208;740;-19;1264;-4514;905;-1755;2828;151;1528;2930;483;2432;-675;329;458;4050;740;149;-475;-1000;-1116
81252;-4106;360;1401;822;313;1561;-4196;672;-581;2874;779;1857;3030;367;2508;-739;350;467;4399;693;169;-480;-1059;-1046
81264;-3966;676;1532;1091;43;1488;-3855;1080;-638;2958;659;1574;3063;266;2595;-795;358;473;4601;591;175;-410;-1030;-954
81276;-3536;188;1801;1234;-158;1332;-3537;437;590;2843;146;1595;3036;177;2611;-767;329;474;4466;579;-237;-379;-395;-795
81288;-3969;826;1864;1249;-254;1055;-3155;962;-25;2245;534;1533;2973;127;2690;-741;263;481;4481;659;-253;-517;344;-786
81300;-3731;733;2033;655;-128;783;-2995;1101;-183;2133;813;1645;3054;62;2688;-700;284;486;4145;774;-183;-472;382;-812
81312;-4317;1072;1532;353;-79;468;-2721;497;-76;1611;697;1330;2977;-22;2736;-641;224;435;3882;822;187;-549;615;-648
81324;-3280;-108;1584;389;-92;311;-3001;742;-150;1031;310;897;2961;-69;2728;-558;212;369;3815;746;372;-602;757;-473
81336;-3467;410;1665;341;-154;181;-2912;491;-259;862;-8;539;2922;-74;2754;-481;180;315;3675;660;398;-671;624;-212
81348;-3760;470;1562;266;-255;51;-3048;355;-435;525;-7;346;2880;-30;2712;-422;135;268;3640;457;59;-707;598;20
81360;-3712;595;1525;130;-194;-9;-3061;358;-501;324;10;198;2827;-41;2669;-372;77;221;3584;383;-117;-801;523;237
81372;-3793;411;1472;-33;-207;-61;-3011;317;-861;63;1;40;2795;26;2591;-330;52;181;3837;422;-327;-828;417;418
81384;-3866;310;1338;-195;-365;-231;-2973;228;-1054;-473;149;-154;2752;41;2626;-300;20;124;3984;522;-226;-833;641;608
81396;-3860;346;1342;-365;-427;-346;-3116;125;-1150;-955;92;-413;2699;60;2603;-228;-25;88;3863;658;-128;-860;1025;764
81408;-3867;337;1300;-436;-549;-417;-3180;253;-1074;-1366;-27;-638;2685;79;2532;-200;-90;73;3620;708;10;-901;1171;911
81420;-3888;608;1366;-496;-645;-513;-3318;744;-1049;-1788;-79;-805;2729;136;2524;-194;-131;49;3558;703;48;-961;1284;1071
